Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 0.0003: (MOVE-UP F1 F2) [D:1.0000; C:1.0000]
 1.0005: (ENTER P17 F2) [D:1.0000; C:1.0000]
 2.0008: (MOVE-UP F2 F37) [D:1.0000; C:1.0000]
 3.0010: (EXIT P17 F37) [D:1.0000; C:1.0000]
 4.0012: (MOVE-UP F37 F21) [D:1.0000; C:1.0000]
 5.0015: (ENTER P7 F21) [D:1.0000; C:1.0000]
 6.0017: (MOVE-DOWN F21 F2) [D:1.0000; C:1.0000]
 7.0020: (EXIT P7 F2) [D:1.0000; C:1.0000]
 8.0022: (MOVE-DOWN F2 F11) [D:1.0000; C:1.0000]
 9.0025: (ENTER P20 F11) [D:1.0000; C:1.0000]
 10.0028: (MOVE-DOWN F11 F47) [D:1.0000; C:1.0000]
 11.0030: (EXIT P20 F47) [D:1.0000; C:1.0000]
 12.0033: (MOVE-DOWN F47 F30) [D:1.0000; C:1.0000]
 13.0035: (ENTER P10 F30) [D:1.0000; C:1.0000]
 14.0037: (MOVE-DOWN F30 F27) [D:1.0000; C:1.0000]
 15.0040: (EXIT P7 F27) [D:1.0000; C:1.0000]
 16.0042: (ENTER P9 F27) [D:1.0000; C:1.0000]
 17.0045: (MOVE-UP F27 F8) [D:1.0000; C:1.0000]
 18.0047: (EXIT P9 F8) [D:1.0000; C:1.0000]
 19.0050: (MOVE-UP F8 F27) [D:1.0000; C:1.0000]
 20.0053: (MOVE-DOWN F27 F11) [D:1.0000; C:1.0000]
 21.0055: (EXIT P10 F11) [D:1.0000; C:1.0000]
 22.0058: (MOVE-UP F11 F5) [D:1.0000; C:1.0000]
 23.0060: (ENTER P18 F5) [D:1.0000; C:1.0000]
 24.0063: (MOVE-DOWN F5 F41) [D:1.0000; C:1.0000]
 25.0065: (EXIT P18 F41) [D:1.0000; C:1.0000]
 26.0068: (MOVE-UP F41 F24) [D:1.0000; C:1.0000]
 27.0070: (ENTER P8 F24) [D:1.0000; C:1.0000]
 28.0072: (MOVE-UP F24 F5) [D:1.0000; C:1.0000]
 29.0075: (EXIT P8 F5) [D:1.0000; C:1.0000]
 30.0077: (MOVE-UP F5 F15) [D:1.0000; C:1.0000]
 31.0080: (ENTER P5 F15) [D:1.0000; C:1.0000]
 32.0083: (MOVE-DOWN F15 F45) [D:1.0000; C:1.0000]
 33.0085: (EXIT P5 F45) [D:1.0000; C:1.0000]
 34.0088: (ENTER P15 F45) [D:1.0000; C:1.0000]
 35.0090: (MOVE-UP F45 F29) [D:1.0000; C:1.0000]
 36.0093: (EXIT P15 F29) [D:1.0000; C:1.0000]
 37.0095: (MOVE-DOWN F29 F45) [D:1.0000; C:1.0000]
 38.0098: (MOVE-DOWN F45 F9) [D:1.0000; C:1.0000]
 39.0100: (ENTER P3 F9) [D:1.0000; C:1.0000]
 40.0103: (MOVE-DOWN F9 F35) [D:1.0000; C:1.0000]
 41.0105: (EXIT P3 F35) [D:1.0000; C:1.0000]
 42.0107: (MOVE-DOWN F35 F8) [D:1.0000; C:1.0000]
 43.0110: (ENTER P19 F8) [D:1.0000; C:1.0000]
 44.0112: (MOVE-DOWN F8 F44) [D:1.0000; C:1.0000]
 45.0115: (EXIT P19 F44) [D:1.0000; C:1.0000]
